POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
名家韩国料理(亚东商业广场店),栖霞区,仙隐北路12号亚东商业广场F1层,118.908032,32.092228,餐饮服务;外国餐厅;韩国料理,餐饮
肯德基(金源百货店),栖霞区,栖霞大道28号万寿金源1层(近迈化路),118.838885,32.119056,餐饮服务;快餐厅;肯德基,餐饮
鱼舟渔铺(新民路店),鼓楼区,铁路北街新民村31-19号(近新民路),118.757472,32.089511,餐饮服务;中餐厅;火锅店,餐饮
陈永梅汤包(后宰门创业一条街店),玄武区,后宰门西村20-38号,118.821023,32.048624,餐饮服务;中餐厅;中餐厅,餐饮
南航粥店(后街老店),江宁区,胜太路168号胜太路大市场C1,118.788517,31.943674,餐饮服务;中餐厅;中餐厅,餐饮
正晴和(黑龙江路店),鼓楼区,黑龙江路33号,118.772527,32.087611,餐饮服务;中餐厅;综合酒楼|住宿服务;宾馆酒店;宾馆酒店,餐饮
五谷屯南京菜(紫金路店),秦淮区,紫金路天地花园9栋,118.832329,32.024234,餐饮服务;中餐厅;中餐厅,餐饮
柳柳家乡菜(汤山店),江宁区,汤泉东路277号(汤山地铁站2号口步行120米),119.067649,32.049724,餐饮服务;中餐厅;中餐厅,餐饮
刘家大院(珠江路店),玄武区,洪武北路红庙9号,118.790407,32.047476,餐饮服务;中餐厅;中餐厅,餐饮
金中鸭血粉丝汤(福建路店),鼓楼区,萨家湾小区南门东南50米,118.761711,32.08229,餐饮服务;中餐厅;中餐厅,餐饮
南京金茂威斯汀大酒店,鼓楼区,中央路201号(玄武门地铁站出入口步行160米),118.783388,32.072093,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
曙光国际大酒店,玄武区,龙蟠路107号,118.794075,32.08739,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
金陵饭店,鼓楼区,汉中路2号金陵饭店大堂1-3号,118.782869,32.042406,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
